"id","name"
11628,"АБС пластик/акрил"
11629,"алюминий/нержавеющая сталь"
11630,"стекло/нержавеющая сталь"
11631,"АБС пластик/ТПУ"
11632,"АБС/ПК пластик"
11633,"ударопрочный полистирол"
11634,"нетканый полипропилен 80 г/м2"
11635,"полиэстер 600D, нейлон"
11636,"ПВХ 200T"
11637,"полиэстер 600D/нетканный полипропилен 80г/м2"
11638,"нетканный полипропилен 80 г/м2"
11639,"полиэстер 210D"
11640,"бумага, имитирующая кожу"
11641,"пластик/силикон"
11642,"тритан без БФА/пластик"
11643,"пластик без БФА"
11644,"нержавеющая сталь/дерево, полиэстер 600D"
11645,"пластик/картон"
11646,"картон, покрытый бумагой под искусственную кожу"
11647,"ПВХ/пластик"
11648,"АБС-пластик"
11649,"нейлон 840D"
11650,"полиэстер 600D/нейлон"
11651,"нейлон Dobby с материалом Scuba"
11652,"полиэстер 600D, нейлон 420D"
11653,"нейлон 400D"
11654,"нейлон 450D"
11655,"нержавеющая сталь/натуральная кожа"
11656,"поликарбонат"
11657,"пластик/полиэстер"
11658,"пластик/резина"
11659,"нейлон"
11660,"нержавеющая сталь/алюминий"
11661,"коралловый флис (100% полиэстер 245г/м2)"
11662,"нержавеющая сталь/термопластичная резина/металл"
11663,"бамбук; нержавеющая сталь/термопластичная резина/металл"
11664,"полиэстер 600D/ПВХ"
11665,"полиэстер 600D, ПВХ"
11666,"переработанное стекло/пробка"
11667,"алюминий/полипропилен/металл"
11668,"термополиуретан"
11669,"термо ПУ"
11670,"высококачественный фарфор"
11671,"сетка Cool Fit 100% полиэстер"
11672,"пике, 100% хлопок"
11673,"Оксфорд, 100% хлопок"
11674,"оксфорд, 100% хлопок"
11675,"поплин, 100% хлопок"
11676,"саржа, 100% хлопок"
11677,"гладкий трикотаж, 60% хлопок, 40% полиэстер"
11678,"100% полиэстер таслон"
11679,"рипстоп с ромбовидным рисунком, 100% нейлон с блестящим покрытием"
11680,"полиэстер, поролон"
11681,"полиэстер/поролон"
11682,"100% полиэстер"
11683,"латунь, покрыты никелем и блестящим хромом"
11684,"подстаканник/ложка- медь и латунь, покрыты никелем и блестящим хромом; стакан- хрусталь"
11685,"купол- полиэстер, каркас, спицы- металл, ручка- пластик"
11686,"флис, 100% полиэстер"
11687,"100% акрил"
11688,"полиэстер/металл/ЭВА"
11689,"полиэстер/металл/ЕВА"
11690,"полиэстер, стекловолокно, ЭВА"
11691,"пластик/пробковое дерево"
11692,"пластик/искусственная трава"
11693,"нержавеющая cталь/пластик с покрытием soft-touch"
11694,"записная книжка- искусственная кожа, картон, бумага/корпус ручки- латунь, лак/отделка и детали дизайна- латунь, хром"
11695,"корпус- латунь, лак/отделка и детали дизайна- латунь, хром/записная книжка- картон, бумага, искусственная кожа"
11696,"корпус- латунь, лак/отделка и детали дизайна- латунь, хром/записная книжка- картон, бумага"
11697,"корпус и колпачок- латунь, лак, акрил/отделка и детали дизайна- сталь, хром/обложка- искусственная кожа"
11698,"полиэстер/металл/ПВХ"
11699,"полиэтилен"
11700,"металл/дерево"
11701,"хрусталь/сплав бронзы и латуни"
11702,"флис/полиэстер"
11703,"корпус и колпачок- латунь, лак, акрил/отделка и детали дизайна- сталь, хром"
11704,"корпус- латунь, лак, акрил/отделка и детали дизайна- сталь, хром"
11705,"металл/оргстекло/стекло"
11706,"металл/стекло; верхняя часть патрона- картон, обклеенный золотым лайнером, нижняя часть- ПВХ кольцо, обтянутое кожзаменителем"
11707,"дерево/береста/металл/стекло"
11708,"дерево/береста/керамика"
11709,"драгоценная черная смола/напыление розового золота"
11710,"драгоценный синий лак/платиновое напыление"
11711,"натуральная кожа/цельная латунь"
