"id","name"
262,"Тампопечать"
263,"Гравировка круговая"
264,"Гравировка"
265,"nan"
266,"Металлостикер"
267,"Шильд спектрум"
268,"Термотрансфер"
269,"Трафаретная печать"
270,"Сублимация"
271,"УФ-печать"
272,"Тиснение"
273,"Вышивка"
274,"Трафаретная печать круговая"
275,"Деколь"
276,"Шеврон жаккардовый"
277,"Трафаретная печать + фольга"
278,"Текстильный принтер"
279,"УФ-печать круговая"
280,"Заливка полимерной смолой"
281,"Цифровая печать"
